"","Mau y Ricky","Paulo Londra","Piso 21","Pedro Capó","Dalex","Anuel AA","Daddy Yankee","Bad Bunny","Sech","KAROL G","Jhay Cortez","DJ Luian","Maluma","Sebastian Yatra","Lunay","ROSALÍA","Becky G","Reik","J Balvin","DJ Snake","Nicky Jam","Ozuna","Luis Fonsi","Greeicy","Camilo","Amenazzy","Daniela Darcourt","6ix9ine","Manuel Turizo","ChocQuibTown","Shawn Mendes","Brytiago","Wisin & Yandel","Leslie Shaw","Nio Garcia","Nacho","Rauw Alejandro","Zion & Lennox","Lalo Ebratt","Myke Towers","Kevin Roldan","Maffio","N'Samble","The Rudeboyz","Danny Ocean","Leslie Grace","Kenny Man","Mike Bahía","Silvestre Dangond","Ariana Grande","Carlos Vives","Pitbull"
"Mau y Ricky",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"Paulo Londra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Piso 21",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Pedro Capó",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalex",1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"Anuel AA",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Daddy Yankee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bad Bunny",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Sech",1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"KAROL G",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
